Number,Family,Binomial,Wood_density,Region,Reference_number,our_samples,Genus,Species,
85,Fabaceae,Acacia concurrens,0.758,Australia/PNG (tropical),90,,Acacia,concurrens,
86,Fabaceae,Acacia confusa,0.713,China,33,,Acacia,confusa,
87,Fabaceae,Acacia confusa,0.753,China,33,,Acacia,confusa,
88,Fabaceae,Acacia confusa,0.672,China,33,,Acacia,confusa,
89,Fabaceae,Acacia confusa,0.791,China,33,,Acacia,confusa,
90,Fabaceae,Acacia coriacea,0.960,Australia,90,,Acacia,coriacea,
91,Fabaceae,Acacia coriacea,0.916,Australia/PNG (tropical),90,,Acacia,coriacea,
92,Fabaceae,Acacia craspedocarpa,0.887,Australia,90,,Acacia,craspedocarpa,
93,Fabaceae,Acacia crassicarpa,0.577,Australia,90,,Acacia,crassicarpa,
94,Fabaceae,Acacia crassicarpa,0.618,Australia,90,,Acacia,crassicarpa,
95,Fabaceae,Acacia crassicarpa,0.581,Australia/PNG (tropical),90,,Acacia,crassicarpa,
96,Fabaceae,Acacia crassicarpa,0.610,Australia/PNG (tropical),90,,Acacia,crassicarpa,
97,Fabaceae,Acacia dealbata,0.568,South America (extratropical),46,,Acacia,dealbata,
98,Fabaceae,Acacia dealbata,0.600,Australia,90,,Acacia,dealbata,
99,Fabaceae,Acacia dealbata,0.572,Australia,90,,Acacia,dealbata,
100,Fabaceae,Acacia dealbata,0.607,Australia/PNG (tropical),90,,Acacia,dealbata,
101,Fabaceae,Acacia decurrens,0.551,Australia/PNG (tropical),90,,Acacia,decurrens,
102,Fabaceae,Acacia decurrens,0.551,Australia/PNG (tropical),90,,Acacia,decurrens,
103,Fabaceae,Acacia decurrens,0.582,China,33,,Acacia,decurrens,
104,Fabaceae,Acacia decurrens,0.539,China,33,,Acacia,decurrens,
105,Fabaceae,Acacia dictyophleba,0.762,Australia,90,,Acacia,dictyophleba,
106,Fabaceae,Acacia difficilis,0.770,Australia,90,,Acacia,difficilis,
107,Fabaceae,Acacia difficilis,0.784,Australia,90,,Acacia,difficilis,
108,Fabaceae,Acacia doratoxylon,0.788,Australia/PNG (tropical),90,,Acacia,doratoxylon,
109,Fabaceae,Acacia elata,0.510,South-East Asia (tropical),129,,Acacia,elata,
110,Fabaceae,Acacia erioloba,1.059,Africa (extratropical),72,,Acacia,erioloba,
111,Fabaceae,Acacia eriopoda,0.900,Australia,90,,Acacia,eriopoda,
112,Fabaceae,Acacia excelsa,0.938,Australia/PNG (tropical),90,,Acacia,excelsa,
113,Fabaceae,Acacia excelsa,0.937,Australia/PNG (tropical),90,,Acacia,excelsa,
114,Fabaceae,Acacia fasciculifera,0.964,Australia/PNG (tropical),90,,Acacia,fasciculifera,
115,Fabaceae,Acacia ferruginea,0.880,India,109,,Acacia,ferruginea,
116,Fabaceae,Acacia furcatispina,0.869,South America (extratropical),66,,Acacia,furcatispina,
117,Fabaceae,Acacia galpinii,0.659,Africa (extratropical),72,,Acacia,galpinii,
118,Fabaceae,Acacia georginae,0.775,Australia/PNG (tropical),90,,Acacia,georginae,
119,Fabaceae,Acacia gerrardii,0.775,Africa (extratropical),72,,Acacia,gerrardii,
120,Fabaceae,Acacia glaucocarpa,0.780,Australia/PNG (tropical),90,,Acacia,glaucocarpa,
121,Fabaceae,Acacia goetzei,0.883,Africa (extratropical),72,,Acacia,goetzei,
122,Fabaceae,Acacia grasbyi,1.054,Australia,90,,Acacia,grasbyi,
123,Fabaceae,Acacia grasbyi,0.860,Australia,90,,Acacia,grasbyi,
124,Fabaceae,Acacia grasbyi,1.032,Australia,90,,Acacia,grasbyi,
125,Fabaceae,Acacia harpophylla,0.908,Australia,90,,Acacia,harpophylla,
126,Fabaceae,Acacia harpophylla,0.884,Australia,90,,Acacia,harpophylla,
127,Fabaceae,Acacia harpophylla,0.883,Australia/PNG (tropical),90,,Acacia,harpophylla,
128,Fabaceae,Acacia harpophylla,0.910,Australia/PNG (tropical),90,,Acacia,harpophylla,
129,Fabaceae,Acacia hemignosta,0.646,Australia,90,,Acacia,hemignosta,
130,Fabaceae,Acacia hemsleyi,0.600,Australia,90,,Acacia,hemsleyi,
131,Fabaceae,Acacia hindsii,0.780,Mexico,23,,Acacia,hindsii,
132,Fabaceae,Acacia holosericea,0.749,Africa (tropical),4,,Acacia,holosericea,
133,Fabaceae,Acacia implexa,0.589,Australia/PNG (tropical),90,,Acacia,implexa,
134,Fabaceae,Acacia implexa,0.689,Australia/PNG (tropical),90,,Acacia,implexa,
135,Fabaceae,Acacia irrorata,0.551,Australia/PNG (tropical),90,,Acacia,irrorata,
136,Fabaceae,Acacia jennerae,0.742,Australia,90,,Acacia,jennerae,
137,Fabaceae,Acacia karroo,0.689,Africa (extratropical),72,,Acacia,karroo,
138,Fabaceae,Acacia laccata,0.723,Australia,90,,Acacia,laccata,
139,Fabaceae,Acacia lasiocalyx,0.684,Australia,90,,Acacia,lasiocalyx,
140,Fabaceae,Acacia leucophloea,0.450,Australia,60,,Acacia,leucophloea,
141,Fabaceae,Acacia longifolia,0.510,Australia,129,,Acacia,longifolia,
142,Fabaceae,Acacia maconochieana,0.800,Australia,90,,Acacia,maconochieana,
143,Fabaceae,Acacia maconochieana,0.801,Australia,90,,Acacia,maconochieana,
144,Fabaceae,Acacia macracantha,0.730,South America (tropical),44,,Acacia,macracantha,
145,Fabaceae,Acacia maidenii,0.620,Australia/PNG (tropical),90,,Acacia,maidenii,
146,Fabaceae,Acacia mangium,0.448,Australia/PNG (tropical),40,,Acacia,mangium,
147,Fabaceae,Acacia mangium,0.474,Australia/PNG (tropical),203,,Acacia,mangium,
148,Fabaceae,Acacia mangium,0.519,Australia/PNG (tropical),203,,Acacia,mangium,
149,Fabaceae,Acacia mangium,0.474,Australia/PNG (tropical),203,,Acacia,mangium,
150,Fabaceae,Acacia mangium,0.594,Australia/PNG (tropical),90,,Acacia,mangium,
151,Fabaceae,Acacia mangium,0.490,Australia/PNG (tropical),129,,Acacia,mangium,
152,Fabaceae,Acacia mangium,0.550,Australia/PNG (tropical),60,,Acacia,mangium,
153,Fabaceae,Acacia mayana,0.730,Mexico,23,,Acacia,mayana,
154,Fabaceae,Acacia mearnsii,0.671,Australia/PNG (tropical),46,,Acacia,mearnsii,
155,Fabaceae,Acacia mearnsii,0.650,Australia/PNG (tropical),60,,Acacia,mearnsii,
156,Fabaceae,Acacia mearnsii,0.658,Australia/PNG (tropical),63,,Acacia,mearnsii,
157,Fabaceae,Acacia melanoxylon,0.568,South America (extratropical),46,,Acacia,melanoxylon,
158,Fabaceae,Acacia melanoxylon,0.570,Australia,38,,Acacia,melanoxylon,
