Number,Family,Binomial,Wood_density,Region,Reference_number,our_samples,Genus,Species,
10416,Fabaceae,Microberlinia brazzavillensis,0.731,Africa (tropical),182,,Microberlinia,brazzavillensis,
10417,Fabaceae,Microberlinia indet,0.663,Africa (tropical),143,,Microberlinia,indet,
10418,Malvaceae,Microcos antidesmifolia,0.470,South-East Asia (tropical),43,,Microcos,antidesmifolia,
10419,Malvaceae,Microcos cinnamomifolia,0.490,South-East Asia (tropical),129,,Microcos,cinnamomifolia,
10420,Malvaceae,Microcos florida,0.340,South-East Asia (tropical),129,,Microcos,florida,
10421,Malvaceae,Microcos globulifera,0.560,South-East Asia (tropical),43,,Microcos,globulifera,
10422,Malvaceae,Microcos lanceolata,0.610,South-East Asia (tropical),43,,Microcos,lanceolata,
10423,Malvaceae,Microcos latifolia,0.550,South-East Asia (tropical),43,,Microcos,latifolia,
10424,Malvaceae,Microcos laurifolia,0.360,South-East Asia (tropical),43,,Microcos,laurifolia,
10425,Malvaceae,Microcos oligoneura,0.413,Africa (tropical),179,,Microcos,oligoneura,
10426,Malvaceae,Microcos pachyphylla,0.380,South-East Asia (tropical),129,,Microcos,pachyphylla,
10427,Malvaceae,Microcos paniculata,0.561,China,33,,Microcos,paniculata,
10428,Malvaceae,Microcos paniculata,0.594,China,33,,Microcos,paniculata,
10429,Malvaceae,Microcos paniculata,0.703,South-East Asia (tropical),14,,Microcos,paniculata,
10430,Malvaceae,Microcos saccinervia,0.420,South-East Asia (tropical),129,,Microcos,saccinervia,
10431,Malvaceae,Microcos stylocarpa,0.412,South-East Asia (tropical),145,,Microcos,stylocarpa,
10432,Malvaceae,Microcos tomentosa,0.640,South-East Asia (tropical),129,,Microcos,tomentosa,
10433,Fabaceae,Microlobius foetidus,0.710,South America (extratropical),114,,Microlobius,foetidus,
10434,Rutaceae,Micromelum minutum,0.660,South-East Asia (tropical),129,,Micromelum,minutum,
10435,Sapotaceae,Micropholis egensis,0.600,South America (tropical),44,,Micropholis,egensis,
10436,Sapotaceae,Micropholis garciniifolia,0.640,South America (tropical),141,,Micropholis,garciniifolia,
10437,Sapotaceae,Micropholis guyanensis,0.783,South America (tropical),198,,Micropholis,guyanensis,
10438,Sapotaceae,Micropholis guyanensis,0.610,South America (tropical),64,,Micropholis,guyanensis,
10439,Sapotaceae,Micropholis guyanensis,0.650,South America (tropical),191,,Micropholis,guyanensis,
10440,Sapotaceae,Micropholis guyanensis,0.603,South America (tropical),30,,Micropholis,guyanensis,
10441,Sapotaceae,Micropholis guyanensis,0.540,South America (tropical),204,,Micropholis,guyanensis,
10442,Sapotaceae,Micropholis guyanensis,0.691,South America (tropical),128,,Micropholis,guyanensis,
10443,Sapotaceae,Micropholis guyanensis,0.670,South America (tropical),41,,Micropholis,guyanensis,
10444,Sapotaceae,Micropholis guyanensis,0.600,South America (tropical),45,,Micropholis,guyanensis,
10445,Sapotaceae,Micropholis guyanensis,0.710,South America (tropical),190,,Micropholis,guyanensis,
10446,Sapotaceae,Micropholis guyanensis,0.723,South America (tropical),166,,Micropholis,guyanensis,
10447,Sapotaceae,Micropholis guyanensis,0.650,South America (tropical),88,,Micropholis,guyanensis,
10448,Sapotaceae,Micropholis humboldtiana,0.600,South America (tropical),44,,Micropholis,humboldtiana,
10449,Sapotaceae,Micropholis indet,0.610,South America (tropical),35,,Micropholis,indet,
10450,Sapotaceae,Micropholis melinoniana,0.530,South America (tropical),64,,Micropholis,melinoniana,
10451,Sapotaceae,Micropholis melinoniana,0.460,South America (tropical),204,,Micropholis,melinoniana,
10452,Sapotaceae,Micropholis melinoniana,0.600,South America (tropical),45,,Micropholis,melinoniana,
10453,Sapotaceae,Micropholis mensalis,0.717,South America (tropical),128,,Micropholis,mensalis,
10454,Sapotaceae,Micropholis mensalis,0.600,South America (tropical),41,,Micropholis,mensalis,
10455,Sapotaceae,Micropholis splendens,0.884,South America (tropical),166,,Micropholis,splendens,
10456,Sapotaceae,Micropholis venulosa,0.792,South America (tropical),52,,Micropholis,venulosa,
10457,Sapotaceae,Micropholis venulosa,0.608,South America (tropical),128,,Micropholis,venulosa,
10458,Sapotaceae,Micropholis venulosa,0.600,South America (tropical),45,,Micropholis,venulosa,
10459,Sapotaceae,Micropholis venulosa,0.680,South America (tropical),88,,Micropholis,venulosa,
10460,Sapotaceae,Micropholis venulosa,0.670,South America (tropical),89,,Micropholis,venulosa,
10461,Sapotaceae,Micropholis williamii,0.718,South America (tropical),128,,Micropholis,williamii,
10462,Apocynaceae,Microplumeria anomala,0.730,South America (tropical),44,,Microplumeria,anomala,
10463,Celastraceae,Microtropis sumatrana,0.540,South-East Asia (tropical),129,,Microtropis,sumatrana,
10464,Moraceae,Milicia excelsa,0.550,South-East Asia,60,,Milicia,excelsa,
10465,Moraceae,Milicia excelsa,0.517,Africa (tropical),1,,Milicia,excelsa,
10466,Moraceae,Milicia excelsa,0.550,Africa (tropical),63,,Milicia,excelsa,
10467,Moraceae,Milicia excelsa,0.550,Africa (tropical),85,,Milicia,excelsa,
10468,Moraceae,Milicia excelsa,0.568,Africa (tropical),98,,Milicia,excelsa,
10469,Moraceae,Milicia excelsa,0.475,Africa (tropical),147,,Milicia,excelsa,
10470,Moraceae,Milicia excelsa,0.486,Africa (tropical),147,,Milicia,excelsa,
10471,Moraceae,Milicia excelsa,0.501,Africa (tropical),147,,Milicia,excelsa,
10472,Moraceae,Milicia excelsa,0.543,Africa (tropical),147,,Milicia,excelsa,
10473,Moraceae,Milicia excelsa,0.575,Africa (tropical),147,,Milicia,excelsa,
10474,Moraceae,Milicia excelsa,0.585,Africa (tropical),147,,Milicia,excelsa,
10475,Moraceae,Milicia excelsa,0.592,Africa (tropical),147,,Milicia,excelsa,
10476,Moraceae,Milicia excelsa,0.610,Africa (tropical),147,,Milicia,excelsa,
10477,Moraceae,Milicia excelsa,0.612,Africa (tropical),147,,Milicia,excelsa,
10478,Moraceae,Milicia excelsa,0.619,Africa (tropical),147,,Milicia,excelsa,
10479,Moraceae,Milicia excelsa,0.627,Africa (tropical),147,,Milicia,excelsa,
10480,Moraceae,Milicia excelsa,0.636,Africa (tropical),147,,Milicia,excelsa,
10481,Moraceae,Milicia excelsa,0.643,Africa (tropical),147,,Milicia,excelsa,
10482,Moraceae,Milicia excelsa,0.647,Africa (tropical),147,,Milicia,excelsa,
10483,Moraceae,Milicia excelsa,0.655,Africa (tropical),147,,Milicia,excelsa,
10484,Moraceae,Milicia excelsa,0.671,Africa (tropical),147,,Milicia,excelsa,
10485,Moraceae,Milicia excelsa,0.579,Africa (tropical),182,,Milicia,excelsa,
10486,Moraceae,Milicia excelsa,0.440,Africa (tropical),76,,Milicia,excelsa,
10487,Moraceae,Milicia excelsa,0.590,Africa (tropical),99,,Milicia,excelsa,
10488,Moraceae,Milicia excelsa,0.540,Africa (tropical),104,,Milicia,excelsa,
10489,Moraceae,Milicia indet,0.487,Africa (tropical),147,,Milicia,indet,
10490,Moraceae,Milicia indet,0.573,Africa (tropical),147,,Milicia,indet,
10491,Moraceae,Milicia regia,0.517,Africa (tropical),1,,Milicia,regia,
10492,Moraceae,Milicia regia,0.581,Africa (tropical),63,,Milicia,regia,
10493,Moraceae,Milicia regia,0.611,Africa (tropical),98,,Milicia,regia,
10494,Moraceae,Milicia regia,0.508,Africa (tropical),147,,Milicia,regia,
10495,Moraceae,Milicia regia,0.552,Africa (tropical),147,,Milicia,regia,
10496,Moraceae,Milicia regia,0.581,Africa (tropical),147,,Milicia,regia,
10497,Moraceae,Milicia regia,0.641,Africa (tropical),147,,Milicia,regia,
10498,Moraceae,Milicia regia,0.508,Africa (tropical),181,,Milicia,regia,
10499,Moraceae,Milicia regia,0.573,Africa (tropical),182,,Milicia,regia,
10500,Annonaceae,Miliusa horsfieldii,0.610,South-East Asia (tropical),129,,Miliusa,horsfieldii,
10501,Annonaceae,Miliusa koolsii,0.690,South-East Asia (tropical),129,,Miliusa,koolsii,
10502,Annonaceae,Miliusa roxburghiana,0.703,South-East Asia (tropical),14,,Miliusa,roxburghiana,
10503,Annonaceae,Miliusa tomentosa,0.620,India,109,,Miliusa,tomentosa,
10504,Annonaceae,Miliusa velutina,0.646,South-East Asia (tropical),14,,Miliusa,velutina,
10505,Annonaceae,Miliusa velutina,0.630,India,109,,Miliusa,velutina,
10506,Fabaceae,Millettia atropurpurea,0.560,South-East Asia (tropical),129,,Millettia,atropurpurea,
10507,Fabaceae,Millettia atropurpurea,0.660,South-East Asia (tropical),43,,Millettia,atropurpurea,
10508,Fabaceae,Millettia brandisiana,0.592,South-East Asia (tropical),14,,Millettia,brandisiana,
10509,Fabaceae,Millettia indet,0.720,Africa (tropical),85,,Millettia,indet,
10510,Fabaceae,Millettia indet,0.508,Africa (tropical),40,,Millettia,indet,
10511,Fabaceae,Millettia laurentii,0.749,Africa (tropical),1,,Millettia,laurentii,
10512,Fabaceae,Millettia laurentii,0.720,Africa (tropical),58,,Millettia,laurentii,
10513,Fabaceae,Millettia laurentii,0.738,Africa (tropical),85,,Millettia,laurentii,
10514,Fabaceae,Millettia laurentii,0.766,Africa (tropical),143,,Millettia,laurentii,
10515,Fabaceae,Millettia laurentii,0.727,Africa (tropical),147,,Millettia,laurentii,
10516,Fabaceae,Millettia laurentii,0.767,Africa (tropical),147,,Millettia,laurentii,
10517,Fabaceae,Millettia laurentii,0.876,Africa (tropical),147,,Millettia,laurentii,
10518,Fabaceae,Millettia laurentii,0.745,Africa (tropical),182,,Millettia,laurentii,
10519,Fabaceae,Millettia leucantha,0.884,South-East Asia (tropical),14,,Millettia,leucantha,
10520,Fabaceae,Millettia pendula,0.870,India,109,,Millettia,pendula,
10521,Fabaceae,Millettia pulchra,0.592,South-East Asia (tropical),14,,Millettia,pulchra,
10522,Fabaceae,Millettia stuhlmannii,0.749,Africa (tropical),1,,Millettia,stuhlmannii,
10523,Fabaceae,Millettia stuhlmannii,0.786,Africa (tropical),182,,Millettia,stuhlmannii,
10524,Fabaceae,Millettia xylocarpa,0.580,South-East Asia (tropical),129,,Millettia,xylocarpa,
10525,Bignoniaceae,Millingtonia hortensis,0.540,South-East Asia (tropical),129,,Millingtonia,hortensis,
10526,Bignoniaceae,Millingtonia hortensis,0.640,India,26,,Millingtonia,hortensis,
10527,Bignoniaceae,Millingtonia hortensis,0.551,South-East Asia (tropical),14,,Millingtonia,hortensis,
10528,Fabaceae,Mimosa arborea,0.740,Mexico,23,,Mimosa,arborea,
10529,Fabaceae,Mimosa arenosa,1.010,Mexico,23,,Mimosa,arenosa,
10530,Fabaceae,Mimosa artemisiana,0.910,South America (extratropical),114,,Mimosa,artemisiana,
10531,Fabaceae,Mimosa bimucronata,0.610,South America (extratropical),114,,Mimosa,bimucronata,
10532,Fabaceae,Mimosa bracaatinga,0.850,South America (extratropical),121,,Mimosa,bracaatinga,
10533,Fabaceae,Mimosa elata,0.962,South America (extratropical),121,,Mimosa,elata,
10534,Fabaceae,Mimosa elata,0.980,South America (extratropical),121,,Mimosa,elata,
10535,Fabaceae,Mimosa elata,1.084,South America (extratropical),121,,Mimosa,elata,
10536,Fabaceae,Mimosa glutinosa,0.970,South America (extratropical),114,,Mimosa,glutinosa,
10537,Fabaceae,Mimosa obovata,0.920,South America (extratropical),114,,Mimosa,obovata,
10538,Fabaceae,Mimosa pigra,0.729,South America (extratropical),121,,Mimosa,pigra,
10539,Fabaceae,Mimosa scabrella,0.670,South America (extratropical),114,,Mimosa,scabrella,
10540,Fabaceae,Mimosa scabrella,0.450,South America (tropical),204,,Mimosa,scabrella,
10541,Fabaceae,Mimosa scabrella,0.482,Africa (tropical),5,,Mimosa,scabrella,
10542,Fabaceae,Mimosa tenuiflora,1.120,South America (extratropical),114,,Mimosa,tenuiflora,
10543,Fabaceae,Mimosa umbellata,0.689,Australia/PNG (tropical),27,,Mimosa,umbellata,
10544,Phrymaceae,Mimulus aurantiacus,0.620,NorthAmerica,3,,Mimulus,aurantiacus,
10545,Sapotaceae,Mimusops calophylloides,0.809,Africa (tropical),179,,Mimusops,calophylloides,
10546,Sapotaceae,Mimusops elengi,0.870,Australia,203,,Mimusops,elengi,
10547,Sapotaceae,Mimusops elengi,0.870,Australia,203,,Mimusops,elengi,
10548,Sapotaceae,Mimusops elengi,0.818,Australia,203,,Mimusops,elengi,
10549,Sapotaceae,Mimusops elengi,0.870,Australia/PNG (tropical),90,,Mimusops,elengi,
10550,Sapotaceae,Mimusops elengi,0.810,South-East Asia (tropical),119,,Mimusops,elengi,
10551,Sapotaceae,Mimusops elengi,0.800,India,26,,Mimusops,elengi,
10552,Sapotaceae,Mimusops elengi,0.960,India,26,,Mimusops,elengi,
10553,Sapotaceae,Mimusops elengi,0.827,Australia/PNG (tropical),27,,Mimusops,elengi,
10554,Sapotaceae,Mimusops elengi,0.818,South-East Asia (tropical),14,,Mimusops,elengi,
10555,Sapotaceae,Mimusops indet,0.973,Madagascar,147,,Mimusops,indet,
10556,Sapotaceae,Mimusops obovata,0.745,Africa (tropical),179,,Mimusops,obovata,
10557,Sapotaceae,Mimusops parvifolia,0.820,South-East Asia (tropical),43,,Mimusops,parvifolia,
10558,Sapotaceae,Mimusops zeyheri,0.814,Africa (extratropical),72,,Mimusops,zeyheri,
10559,Olacaceae,Minquartia guianensis,0.770,South America (tropical),141,,Minquartia,guianensis,
10560,Olacaceae,Minquartia guianensis,1.040,South America (tropical),114,,Minquartia,guianensis,
10561,Olacaceae,Minquartia guianensis,0.610,Central America (tropical),116,,Minquartia,guianensis,
10562,Olacaceae,Minquartia guianensis,0.754,South America (tropical),198,,Minquartia,guianensis,
10563,Olacaceae,Minquartia guianensis,0.888,South America (tropical),185,,Minquartia,guianensis,
10564,Olacaceae,Minquartia guianensis,0.760,South America (tropical),64,,Minquartia,guianensis,
10565,Olacaceae,Minquartia guianensis,0.760,South America (tropical),22,,Minquartia,guianensis,
10566,Olacaceae,Minquartia guianensis,0.715,South America (tropical),52,,Minquartia,guianensis,
10567,Olacaceae,Minquartia guianensis,0.770,South America (tropical),15,,Minquartia,guianensis,
10568,Olacaceae,Minquartia guianensis,0.670,South America (tropical),204,,Minquartia,guianensis,
10569,Olacaceae,Minquartia guianensis,0.777,South America (tropical),128,,Minquartia,guianensis,
10570,Olacaceae,Minquartia guianensis,0.800,South America (tropical),56,,Minquartia,guianensis,
10571,Olacaceae,Minquartia guianensis,0.900,South America (tropical),56,,Minquartia,guianensis,
10572,Olacaceae,Minquartia guianensis,0.800,South America (tropical),45,,Minquartia,guianensis,
10573,Sapindaceae,Mischarytera lautereriana,0.607,Australia/PNG (tropical),90,,Mischarytera,lautereriana,
10574,Sapindaceae,Mischarytera lautereriana,0.580,Australia,90,,Mischarytera,lautereriana,
10575,Sapindaceae,Mischarytera lautereriana,0.607,Australia/PNG (tropical),90,,Mischarytera,lautereriana,
10576,Sapindaceae,Mischocarpus anodontus,0.650,Australia/PNG (tropical),90,,Mischocarpus,anodontus,
10577,Sapindaceae,Mischocarpus fuscescens,0.790,South-East Asia (tropical),129,,Mischocarpus,fuscescens,
10578,Sapindaceae,Mischocarpus oppositifolius,0.732,China,33,,Mischocarpus,oppositifolius,
10579,Sapindaceae,Mischocarpus oppositifolius,0.810,China,33,,Mischocarpus,oppositifolius,
10580,Sapindaceae,Mischocarpus papuanus,0.680,South-East Asia (tropical),129,,Mischocarpus,papuanus,
10581,Sapindaceae,Mischocarpus stipitatus,0.650,Australia/PNG (tropical),90,,Mischocarpus,stipitatus,
10582,Sapindaceae,Mischocarpus stipitatus,0.650,Australia/PNG (tropical),90,,Mischocarpus,stipitatus,
10583,Sapindaceae,Mischocarpus stipitatus,0.839,Australia/PNG (tropical),90,,Mischocarpus,stipitatus,
10584,Sapindaceae,Mischocarpus sundaicus,0.780,South-East Asia (tropical),129,,Mischocarpus,sundaicus,
10585,Rubiaceae,Mitragyna diversifolia,0.550,India,109,,Mitragyna,diversifolia,
10586,Rubiaceae,Mitragyna indet,0.464,Africa (tropical),98,,Mitragyna,indet,
10587,Rubiaceae,Mitragyna indet,0.597,Africa (tropical),147,,Mitragyna,indet,
10588,Rubiaceae,Mitragyna parvifolia,0.640,South-East Asia,60,,Mitragyna,parvifolia,
10589,Rubiaceae,Mitragyna rotundifolia,0.490,South-East Asia (tropical),129,,Mitragyna,rotundifolia,
10590,Rubiaceae,Mitragyna rotundifolia,0.565,South-East Asia (tropical),14,,Mitragyna,rotundifolia,
10591,Rubiaceae,Mitragyna rubrostipulacea,0.450,South-East Asia,136,,Mitragyna,rubrostipulacea,
10592,Rubiaceae,Mitragyna rubrostipulata,0.537,Africa (tropical),179,,Mitragyna,rubrostipulata,
10593,Rubiaceae,Mitragyna speciosa,0.380,South-East Asia (tropical),16,,Mitragyna,speciosa,
10594,Rubiaceae,Mitragyna speciosa,0.550,South-East Asia (tropical),43,,Mitragyna,speciosa,
10595,Rubiaceae,Mitragyna speciosa,0.586,South-East Asia (tropical),14,,Mitragyna,speciosa,
10596,Annonaceae,Mitrephora ferruginea,0.770,South-East Asia (tropical),129,,Mitrephora,ferruginea,
10597,Annonaceae,Mitrephora maingayi,0.760,South-East Asia (tropical),43,,Mitrephora,maingayi,
10598,Annonaceae,Mitrephora polypyrena,0.680,South-East Asia (tropical),129,,Mitrephora,polypyrena,
10599,Annonaceae,Mitrephora reticulata,0.760,South-East Asia (tropical),129,,Mitrephora,reticulata,
10600,Annonaceae,Mitrephora rugosa,0.490,South-East Asia (tropical),129,,Mitrephora,rugosa,
10601,Annonaceae,Mitrephora thorelii,0.620,South-East Asia (tropical),126,,Mitrephora,thorelii,
10602,Fabaceae,Moldenhawera floribunda,0.810,South America (extratropical),114,,Moldenhawera,floribunda,
10603,Malvaceae,Mollia gracilis,0.490,South America (tropical),44,,Mollia,gracilis,
10604,Malvaceae,Mollia lepidota,0.490,South America (tropical),44,,Mollia,lepidota,
10605,Malvaceae,Mollia speciosa,0.490,South America (tropical),44,,Mollia,speciosa,
10606,Annonaceae,Monocarpia euneura,0.480,South-East Asia (tropical),80,,Monocarpia,euneura,
10607,Annonaceae,Monodora tenuifolia,0.490,Africa (extratropical),123,,Monodora,tenuifolia,
10608,Fabaceae,Monopetalanthus coriaceus,0.469,Africa (tropical),85,,Monopetalanthus,coriaceus,
10609,Fabaceae,Monopetalanthus coriaceus,0.475,Africa (tropical),147,,Monopetalanthus,coriaceus,
10610,Fabaceae,Monopetalanthus coriaceus,0.479,Africa (tropical),147,,Monopetalanthus,coriaceus,
10611,Fabaceae,Monopetalanthus coriaceus,0.494,Africa (tropical),147,,Monopetalanthus,coriaceus,
10612,Fabaceae,Monopetalanthus coriaceus,0.535,Africa (tropical),147,,Monopetalanthus,coriaceus,
10613,Fabaceae,Monopetalanthus coriaceus,0.573,Africa (tropical),147,,Monopetalanthus,coriaceus,
10614,Fabaceae,Monopetalanthus coriaceus,0.583,Africa (tropical),147,,Monopetalanthus,coriaceus,
10615,Fabaceae,Monopetalanthus coriaceus,0.517,Africa (tropical),179,,Monopetalanthus,coriaceus,
10616,Fabaceae,Monopetalanthus durandii,0.523,Africa (tropical),85,,Monopetalanthus,durandii,
10617,Fabaceae,Monopetalanthus durandii,0.436,Africa (tropical),147,,Monopetalanthus,durandii,
10618,Fabaceae,Monopetalanthus durandii,0.485,Africa (tropical),147,,Monopetalanthus,durandii,
10619,Fabaceae,Monopetalanthus durandii,0.489,Africa (tropical),147,,Monopetalanthus,durandii,
10620,Fabaceae,Monopetalanthus durandii,0.495,Africa (tropical),147,,Monopetalanthus,durandii,
10621,Fabaceae,Monopetalanthus durandii,0.514,Africa (tropical),147,,Monopetalanthus,durandii,
10622,Fabaceae,Monopetalanthus durandii,0.515,Africa (tropical),147,,Monopetalanthus,durandii,
10623,Fabaceae,Monopetalanthus durandii,0.524,Africa (tropical),147,,Monopetalanthus,durandii,
10624,Fabaceae,Monopetalanthus durandii,0.535,Africa (tropical),147,,Monopetalanthus,durandii,
10625,Fabaceae,Monopetalanthus durandii,0.552,Africa (tropical),147,,Monopetalanthus,durandii,
10626,Fabaceae,Monopetalanthus durandii,0.602,Africa (tropical),147,,Monopetalanthus,durandii,
10627,Fabaceae,Monopetalanthus durandii,0.616,Africa (tropical),147,,Monopetalanthus,durandii,
10628,Fabaceae,Monopetalanthus heitzii,0.280,South-East Asia,181,,Monopetalanthus,heitzii,
10629,Fabaceae,Monopetalanthus letestui,0.465,Africa (tropical),1,,Monopetalanthus,letestui,
10630,Fabaceae,Monopetalanthus letestui,0.523,Africa (tropical),85,,Monopetalanthus,letestui,
10631,Fabaceae,Monopetalanthus letestui,0.516,Africa (tropical),137,,Monopetalanthus,letestui,
10632,Fabaceae,Monopetalanthus letestui,0.474,Africa (tropical),147,,Monopetalanthus,letestui,
10633,Fabaceae,Monopetalanthus letestui,0.498,Africa (tropical),147,,Monopetalanthus,letestui,
10634,Fabaceae,Monopetalanthus letestui,0.502,Africa (tropical),147,,Monopetalanthus,letestui,
10635,Fabaceae,Monopetalanthus letestui,0.512,Africa (tropical),147,,Monopetalanthus,letestui,
10636,Fabaceae,Monopetalanthus letestui,0.517,Africa (tropical),147,,Monopetalanthus,letestui,
10637,Fabaceae,Monopetalanthus letestui,0.539,Africa (tropical),147,,Monopetalanthus,letestui,
10638,Fabaceae,Monopetalanthus letestui,0.631,Africa (tropical),147,,Monopetalanthus,letestui,
10639,Fabaceae,Monopetalanthus letestui,0.666,Africa (tropical),147,,Monopetalanthus,letestui,
10640,Fabaceae,Monopetalanthus letestui,0.699,Africa (tropical),147,,Monopetalanthus,letestui,
10641,Fabaceae,Monopetalanthus pellegrini,0.465,Africa (tropical),1,,Monopetalanthus,pellegrini,
10642,Fabaceae,Monopetalanthus pellegrini,0.491,Africa (tropical),85,,Monopetalanthus,pellegrini,
10643,Fabaceae,Monopetalanthus pellegrini,0.473,Africa (tropical),147,,Monopetalanthus,pellegrini,
10644,Fabaceae,Monopetalanthus pellegrini,0.480,Africa (tropical),147,,Monopetalanthus,pellegrini,
10645,Fabaceae,Monopetalanthus pellegrini,0.526,Africa (tropical),147,,Monopetalanthus,pellegrini,
10646,Fabaceae,Monopetalanthus pellegrini,0.533,Africa (tropical),147,,Monopetalanthus,pellegrini,
10647,Fabaceae,Monopetalanthus pellegrini,0.482,Africa (tropical),179,,Monopetalanthus,pellegrini,
10648,Fabaceae,Monopteryx uaucu,0.730,South America (tropical),44,,Monopteryx,uaucu,
10649,Dipterocarpaceae,Monotes engleri,0.771,Africa (extratropical),72,,Monotes,engleri,
10650,Dipterocarpaceae,Monotes glaber,0.745,Africa (extratropical),72,,Monotes,glaber,
10651,Malvaceae,Montezuma speciosissima,0.700,Central America (tropical),111,,Montezuma,speciosissima,
10652,Asteraceae,Moquinia polymorpha,0.955,South America (extratropical),121,,Moquinia,polymorpha,
10653,Fabaceae,Mora excelsa,0.800,South America (tropical),141,,Mora,excelsa,
10654,Fabaceae,Mora excelsa,0.880,South America (tropical),35,,Mora,excelsa,
10655,Fabaceae,Mora excelsa,0.852,South America (tropical),52,,Mora,excelsa,
10656,Fabaceae,Mora excelsa,0.780,South America (tropical),191,,Mora,excelsa,
10657,Fabaceae,Mora excelsa,0.720,South America (tropical),204,,Mora,excelsa,
10658,Fabaceae,Mora excelsa,0.820,South America (tropical),45,,Mora,excelsa,
10659,Fabaceae,Mora gonggrijpii,0.800,South America (tropical),141,,Mora,gonggrijpii,
10660,Fabaceae,Mora gonggrijpii,0.880,South America (tropical),35,,Mora,gonggrijpii,
10661,Fabaceae,Mora gonggrijpii,0.887,South America (tropical),52,,Mora,gonggrijpii,
10662,Fabaceae,Mora gonggrijpii,0.580,South America (tropical),204,,Mora,gonggrijpii,
10663,Fabaceae,Mora gonggrijpii,0.820,South America (tropical),45,,Mora,gonggrijpii,
10664,Fabaceae,Mora gonggrijpii,0.780,South America (tropical),138,,Mora,gonggrijpii,
10665,Fabaceae,Mora gonggrijpii,0.880,South America (tropical),190,,Mora,gonggrijpii,
10666,Fabaceae,Mora megistosperma,0.880,South America (tropical),35,,Mora,megistosperma,
10667,Fabaceae,Mora megistosperma,0.630,South America (tropical),95,,Mora,megistosperma,
10668,Fabaceae,Mora megistosperma,0.820,South America (tropical),44,,Mora,megistosperma,
10669,Fabaceae,Mora paraensis,0.880,South America (tropical),35,,Mora,paraensis,
10670,Fabaceae,Mora paraensis,0.820,South America (tropical),44,,Mora,paraensis,
10671,Rubiaceae,Morinda citrifolia,0.720,India,26,,Morinda,citrifolia,
10672,Rubiaceae,Morinda citrifolia,0.540,South-East Asia (tropical),16,,Morinda,citrifolia,
10673,Rubiaceae,Morinda elliptica,0.560,South-East Asia (tropical),43,,Morinda,elliptica,
10674,Rubiaceae,Morinda panamensis,0.490,South America (tropical),44,,Morinda,panamensis,
10675,Rubiaceae,Morinda tinctoria,0.480,South-East Asia (tropical),129,,Morinda,tinctoria,
10676,Moringaceae,Moringa oleifera,0.262,South-East Asia (tropical),14,,Moringa,oleifera,
10677,Brassicaceae,Morisonia americana,0.880,Mexico,23,,Morisonia,americana,
10678,Clusiaceae,Moronobea coccinea,0.900,South America (tropical),185,,Moronobea,coccinea,
10679,Clusiaceae,Moronobea coccinea,0.827,South America (tropical),52,,Moronobea,coccinea,
10680,Clusiaceae,Moronobea coccinea,0.770,South America (tropical),45,,Moronobea,coccinea,
10681,Malvaceae,Mortoniodendron guatemalense,0.510,Mexico,23,,Mortoniodendron,guatemalense,
10682,Moraceae,Morus alba,0.589,South America (extratropical),48,,Morus,alba,
10683,Moraceae,Morus alba,0.559,South America (extratropical),46,,Morus,alba,
10684,Moraceae,Morus alba,0.500,South America (tropical),77,,Morus,alba,
10685,Moraceae,Morus alba,0.578,China,33,,Morus,alba,
10686,Moraceae,Morus alba,0.600,India,26,,Morus,alba,
10687,Moraceae,Morus alba,0.890,India,26,,Morus,alba,
10688,Moraceae,Morus alba,0.534,China,33,,Morus,alba,
10689,Moraceae,Morus alba,0.570,Africa (extratropical),76,,Morus,alba,
10690,Moraceae,Morus alba,0.592,South-East Asia (tropical),14,,Morus,alba,
10691,Moraceae,Morus cathayana,0.610,China,197,,Morus,cathayana,
10692,Moraceae,Morus lactea,0.600,South-East Asia,136,,Morus,lactea,
10693,Moraceae,Morus laevigata,0.550,South-East Asia,136,,Morus,laevigata,
10694,Moraceae,Morus macroura,0.550,South-East Asia (tropical),14,,Morus,macroura,
10695,Moraceae,Morus mesozygia,0.663,Africa (tropical),1,,Morus,mesozygia,
10696,Moraceae,Morus mesozygia,0.757,Africa (tropical),98,,Morus,mesozygia,
10697,Moraceae,Morus mesozygia,0.700,Africa (extratropical),123,,Morus,mesozygia,
10698,Moraceae,Morus mesozygia,0.709,Africa (tropical),147,,Morus,mesozygia,
10699,Moraceae,Morus mesozygia,0.798,Africa (tropical),147,,Morus,mesozygia,
10700,Moraceae,Morus mesozygia,0.829,Africa (tropical),147,,Morus,mesozygia,
10701,Moraceae,Morus mesozygia,0.611,Africa (tropical),181,,Morus,mesozygia,
10702,Moraceae,Morus mesozygia,0.745,Africa (tropical),182,,Morus,mesozygia,
10703,Moraceae,Morus mesozygia,0.700,Africa (tropical),183,,Morus,mesozygia,
10704,Moraceae,Morus nigra,0.517,South-East Asia (tropical),13,,Morus,nigra,
10705,Moraceae,Morus serrata,0.580,India,109,,Morus,serrata,
10706,Euphorbiaceae,Moultonianthus leembruggianus,0.680,South-East Asia (tropical),130,,Moultonianthus,leembruggianus,
10707,Melastomataceae,Mouriri acutiflora,0.890,South America (tropical),64,,Mouriri,acutiflora,
10708,Melastomataceae,Mouriri acutiflora,0.730,South America (tropical),44,,Mouriri,acutiflora,
10709,Melastomataceae,Mouriri angulicosta,0.900,South America (tropical),45,,Mouriri,angulicosta,
