ORDER,Fixer,GENUS$,SPECIES$,Species.Name,FAMILY$,WSG,SEEDMASS,HEIGHT,LMA,RGR95SAP,RGR90SAP,RGRAVGSAP,N_RGRSAP,MRT25SAP,MRT50SAP,MRTALLSAP,N_MRTALLSAP,RGR95TRE,RGR90TRE,RGRAVGTRE,N_RGRTRE,MRT25TRE,MRT50TRE,MRTALLTRE,N_MRTALLTRE
64,n,Casearia,sylvestris,Casearia sylvestris,Flacourtiace,0.662,-99,16.4,70.4,-99,-99,-99,-99,-99,-99,-99,-99,0.03,0.023,0.0099,258,35.2,23.9,16.4,220
65,n,Hasseltia,floribunda,Hasseltia floribunda,Flacourtiace,0.565,0.01123,15,47.3,0.128,0.099,0.038,1454,32.4,31.1,25.2,1328,0.042,0.031,0.0117,1008,32.1,23.6,15.8,840
66,n,Lacistema,aggregatum,Lacistema aggregatum,Flacourtiace,0.558,0.011052,16.3,51.1,0.11,0.081,0.028,5851,27.5,25.1,19.9,4848,0.027,0.023,0.008,150,37.1,32.3,19.2,125
67,n,Laetia,thamnia,Laetia thamnia,Flacourtiace,0.727,0.004359,14.5,65,0.133,0.106,0.04,1566,28.1,24.1,18.9,1312,-99,-99,-99,-99,-99,-99,-99,-99
68,n,Lindackeria,laurina,Lindackeria laurina,Flacourtiace,0.693,0.037742,17.3,66.8,-99,-99,-99,-99,-99,-99,-99,-99,0.031,0.02,0.0031,293,20,14.9,10.7,244
69,n,Xylosma,oligandra,Xylosma oligandra,Flacourtiace,-99,-99,8.5,40.2,0.104,0.082,0.029,425,24.4,20.6,18.4,380,-99,-99,-99,-99,-99,-99,-99,-99
70,n,Beilschmiedi,pendula,Beilschmiedi pendula,Lauraceae,0.528,3.876056,34.2,69.8,0.115,0.089,0.032,7878,26.2,24.1,18,6533,0.044,0.032,0.0113,1282,17.6,11.5,7.3,1048
71,n,Nectandra,cissiflora,Nectandra cissiflora,Lauraceae,0.421,-99,19.5,71.1,0.176,0.151,0.059,743,38.2,36.3,28.2,663,-99,-99,-99,-99,-99,-99,-99,-99
72,n,Ocotea,cernua,Ocotea cernua,Lauraceae,0.61,0.04176,14.4,61.7,0.142,0.105,0.04,802,44.5,42.1,33.9,696,-99,-99,-99,-99,-99,-99,-99,-99
73,n,Ocotea,puberula,Ocotea puberula,Lauraceae,0.389,0.03448,26.8,49.4,0.175,0.145,0.054,504,46.8,48.9,39,459,-99,-99,-99,-99,-99,-99,-99,-99
74,n,Ocotea,whitei,Ocotea whitei,Lauraceae,0.426,-99,32.3,68.3,0.169,0.127,0.055,1431,52.8,46.4,34.5,1342,0.082,0.063,0.0247,659,20.2,15.5,10.6,518
75,n,Gustavia,superba,Gustavia superba,Lecythidacea,0.612,5.661719,20.6,44.7,-99,-99,-99,-99,-99,-99,-99,-99,0.021,0.016,0.0059,3089,6.4,4.7,3,2494
76,n,Miconia,affinis,Miconia affinis,Melastomatac,0.57,-99,8.7,46.2,0.204,0.163,0.064,1195,41.5,36.7,27.3,987,-99,-99,-99,-99,-99,-99,-99,-99
77,n,Miconia,argentea,Miconia argentea,Melastomatac,0.697,-99,20.2,56.5,0.267,0.228,0.096,1314,79.4,71.6,55.8,1165,0.067,0.059,0.0266,223,50,40.5,30.6,170
78,n,Mouriri,myrtilloides,Mouriri myrtilloides,Melastomatac,0.788,0.042875,8.6,76.2,0.097,0.073,0.024,29556,22.6,20.9,17.8,24178,-99,-99,-99,-99,-99,-99,-99,-99
79,n,Guarea,bullata,Guarea bullata,Meliaceae,0.668,-99,17.2,76.1,0.097,0.072,0.024,4288,29.6,27.6,22.1,3720,0.023,0.017,0.006,335,37.1,30.8,19.8,288
80,n,Guarea,guidonia,Guarea guidonia,Meliaceae,0.56,-99,20.2,56.2,0.119,0.091,0.033,5222,22.1,20.5,15.1,4274,0.035,0.025,0.0077,1705,15.5,10.8,6.4,1371
81,n,Trichilia,pallida,Trichilia pallida,Meliaceae,0.573,0.054078,16.7,50.9,0.139,0.103,0.04,1591,26.8,22.2,15.1,1336,0.042,0.035,0.0126,358,18.6,11.4,8.2,281
82,n,Trichilia,tuberculata,Trichilia tuberculata,Meliaceae,0.692,0.109507,29.3,57.8,0.099,0.075,0.027,39824,21,18.8,14.7,32273,0.037,0.029,0.0113,7745,25.8,18.6,12.4,6425
83,n,Siparuna,pauciflora,Siparuna pauciflora,Monimiaceae,0.458,-99,7.7,51.4,0.153,0.111,0.042,747,43.1,38.5,29.8,578,-99,-99,-99,-99,-99,-99,-99,-99
84,n,Brosimum,alicastrum,Brosimum alicastrum,Moraceae,0.672,0.701005,37.4,48.1,0.114,0.092,0.036,2173,5.5,4.9,4.4,1761,0.038,0.026,0.0069,786,13.8,11,6.8,621
85,n,Ficus,tonduzii,Ficus tonduzii,Moraceae,0.357,-99,11.2,76.3,-99,-99,-99,-99,-99,-99,-99,-99,0.03,0.022,0.0029,113,25,28.6,24,100
86,n,Maquira,guianensis,Maquira guianensis,Moraceae,0.643,-99,15.3,57.2,0.125,0.099,0.039,4320,10,8.6,6.4,3486,0.023,0.016,0.0036,770,26.1,23.3,17.9,637
87,n,Perebea,xanthochyma,Perebea xanthochyma,Moraceae,0.623,0.091272,14.1,53.7,0.129,0.099,0.037,846,17.9,15,10.5,695,-99,-99,-99,-99,-99,-99,-99,-99
88,n,Poulsenia,armata,Poulsenia armata,Moraceae,0.315,0.008913,36.2,55.8,0.185,0.143,0.061,2422,39.9,30.5,23.1,2247,0.047,0.036,0.0118,3033,40.1,32.3,22.3,2536
89,n,Sorocea,affinis,Sorocea affinis,Moraceae,0.646,0.077688,9.4,47.4,0.111,0.084,0.031,11108,16.5,15,12,9288,0.016,0.013,-0.0002,122,34.6,32.2,25.9,108
90,n,Trophis,caucana,Trophis caucana,Moraceae,0.475,0.02537,12,40.8,0.158,0.118,0.049,520,54.7,43.2,32.2,488,0.033,0.03,0.0079,144,31.6,21.4,19.3,114
91,n,Trophis,racemosa,Trophis racemosa,Moraceae,0.631,-99,18.4,45.1,0.105,0.076,0.024,959,19.7,18.5,14.7,789,0.028,0.019,0.0048,156,36.4,32.8,23.5,136
92,n,Virola,sebifera,Virola sebifera,Myristicacea,0.487,0.111661,30.5,60.1,0.143,0.106,0.041,4593,22.9,18.9,13.9,4024,0.048,0.036,0.0138,2684,24.2,17,11.2,2181
93,n,Virola,surinamensis,Virola surinamensis,Myristicacea,0.407,1.580256,37.3,49.5,-99,-99,-99,-99,-99,-99,-99,-99,0.065,0.049,0.0192,619,20.9,13.5,8.8,520
94,n,Stylogyne,turbacensis,Stylogyne turbacensis,Myrsinaceae,0.569,0.0359,8.2,97.6,0.104,0.076,0.024,2661,24.9,23.5,20.3,2153,-99,-99,-99,-99,-99,-99,-99,-99
95,n,Chamguava,schippii,Chamguava schippii,Myrtaceae,-99,-99,12.7,66.9,0.113,0.09,0.035,1158,15.5,11,8.1,854,-99,-99,-99,-99,-99,-99,-99,-99
96,n,Eugenia,coloradoensi,Eugenia coloradoensi,Myrtaceae,0.693,0.085297,21.9,84.8,0.111,0.088,0.028,2451,26.2,24.2,17.5,2063,0.051,0.042,0.0186,348,26.5,17.5,16,275
97,n,Eugenia,galalonensis,Eugenia galalonensis,Myrtaceae,0.636,0.08892,16.1,63.8,0.104,0.078,0.027,5533,12.8,11.5,9.6,4181,-99,-99,-99,-99,-99,-99,-99,-99
98,n,Eugenia,nesiotica,Eugenia nesiotica,Myrtaceae,0.732,0.34089,21.1,53.9,0.097,0.068,0.02,1880,15.5,15.1,12.7,1526,0.043,0.032,0.0105,238,12.8,9.5,5.8,191
99,n,Eugenia,oerstediana,Eugenia oerstediana,Myrtaceae,0.656,-99,16.7,54.4,0.129,0.096,0.033,6830,29.4,27.6,19.4,5719,0.063,0.05,0.0211,670,43.4,31.8,19.5,518
100,n,Guapira,standleyana,Guapira standleyana,Nyctaginacea,0.511,0.061173,32.2,38,-99,-99,-99,-99,-99,-99,-99,-99,0.057,0.042,0.0144,406,3.7,4.3,3,328
101,n,Ouratea,lucens,Ouratea lucens,Ochnaceae,0.802,0.097,11.6,103.5,0.078,0.06,0.018,5182,18,13.6,11.3,4165,-99,-99,-99,-99,-99,-99,-99,-99
102,n,Heisteria,concinna,Heisteria concinna,Olacaceae,0.719,0.179125,17.9,101.1,0.125,0.104,0.047,2356,7.7,5.9,4.7,1921,0.031,0.025,0.0101,1284,12.2,8.7,5.8,1018
103,n,Coccoloba,manzinellens,Coccoloba manzinellens,Polygonaceae,0.716,0.01882,9.2,66.3,0.104,0.078,0.025,1498,17,15.8,13.1,1241,-99,-99,-99,-99,-99,-99,-99,-99
104,n,Triplaris,cumingiana,Triplaris cumingiana,Polygonaceae,0.529,-99,28.1,40.8,-99,-99,-99,-99,-99,-99,-99,-99,0.048,0.033,0.0116,598,11.1,8.9,5.5,472
